IO_ID,Address,OccupantName,StructureName,PropUseType,PropUseTypeDescription,InspectionType_Full,LatestInspDate,InspWithinLastYear,address_id,lon,lat
161973,119 Garfield,Sugar Hill,,400, Residential - Other,ANNUAL High Rise,9/14/2022 17:46,Yes,485882,-83.060411,42.354794
161957,1555 Mack,Pepsi-Detroit,,700," Manufacturing, Processing",ANNUAL 302 Site,9/14/2022 17:11,Yes,348446,-83.043968,42.355273
161961,13775 Buena Vista,13775 BUENA VISTA LLC,,500," Mercantile, Business - Other",ANNUAL Industrial Occupancy,9/14/2022 13:20,Yes,537514,-83.181875,42.383177
161974,18695 Sherwood,ALRO STEEL CORP,Alro Steel,700," Manufacturing, Processing",ANNUAL 302 Site,9/14/2022 3:50,Yes,538643,-83.034844,42.431776
161924,18700 Meyers,Home Depot,Home Depot,500," Mercantile, Business - Other",ANNUAL 302 Site,9/13/2022 17:37,Yes,16058,-83.169429,42.428537
161935,2131 Beaufait,GLEANERS COMMUNITY FOOD BANK,,599, Business Office,ANNUAL 302 Site,9/13/2022 16:00,Yes,278656,-83.013954,42.353902
161936,3579 Gratiot,Faygo Beverages,Faygo Beverages,700," Manufacturing, Processing",ANNUAL 302 Site,9/13/2022 13:45,Yes,270094,-83.026548,42.362832
161925,7515 Lyndon,Detroit Chrome Inc. Aerotech,"Detroit Chrome Inc., Aerotech",700," Manufacturing, Processing",ANNUAL 302 Site,9/13/2022 12:31,Yes,68822,-83.146107,42.394994
161929,8530 Joy,Carla Barton,Carla Barton,200, Educational - Other,ANNUAL Educational,9/13/2022 10:00,Yes,216212,-83.153848,42.359826
161914,600 East Lafayette,BCBSM Parking Structure,Tower and Support,882," Parking Garage, General Vehicle",ANNUAL 302 Site,9/12/2022 15:15,Yes,348053,-83.038738,42.334294
160330,20800 West Seven Mile,VALERO GAS STATION,VALERO GAS STATION,571," Service Station, Gas Station",ANNUAL Gas Station,9/12/2022 15:00,Yes,95738,-83.247791,42.429729
159919,21740 Fenkell,Brightmoor Petroleum Inc.,MARATHON GAS STATION,571," Service Station, Gas Station",ANNUAL Gas Station,9/12/2022 14:00,Yes,110590,-83.256361,42.400612
161913,4600 Bellevue,AJAX METAL PROCESSING,Ajax Metal Processing,600," Ind., Utility, Defense, Agriculture, Mining - Other",ANNUAL 302 Site,9/12/2022 12:50,Yes,,,
161927,5680 Konkel,Academy of the Americas Elementary Middle School - DPS,Academy of the Americas/ St Hedwigs,200, Educational - Other,ANNUAL Educational,9/12/2022 10:00,Yes,539926,-83.110535,42.327116
122536,1511 Broadway,Sid Golds,Sid Golds,100, Assembly - Other,ANNUAL Assembly Occupancy,9/10/2022 1:39,Yes,,,
147111,30 Clifford,Downtown Louie's Lounge,Downtown Louie's Lounge,100, Assembly - Other,ANNUAL Assembly Occupancy,9/9/2022 23:05,Yes,12580,-83.050112,42.334832
161883,10420 McNichols,Oakman Child Care,,254," Day Care, In Commercial Property",ANNUAL Child Care Center (Day Care),9/9/2022 22:00,Yes,535118,-83.165214,42.417014
154230,14537 Gratiot,Chan's Chinese Food,,500," Mercantile, Business - Other",ANNUAL Assembly Occupancy,9/9/2022 18:55,Yes,225601,-82.976006,42.438197
159806,19121 Telegraph,QSJ HEALTH SPA,,0, Property Use - Other,ANNUAL Business Occupancy,9/9/2022 17:00,Yes,352722,-83.278152,42.429909
161939,4001 West McNichols,U OF D MERCY - STUDENT CENTER,Student Center,241," Adult Education Center, College Classroom",ANNUAL Residential,9/9/2022 16:25,Yes,253760,-83.137074,42.412945
161836,19250 West McNichols,SIX MILE SUNOCO INC/SUNOCO GAS,Sunoco Gas,571," Service Station, Gas Station",ANNUAL Gas Station,9/9/2022 16:00,Yes,101394,-83.231125,42.415603
161889,10711 West McNichols,African Clothing & Products,"A and H Development, LLC",500," Mercantile, Business - Other",ANNUAL Business Occupancy,9/9/2022 15:00,Yes,,,
161888,10641 McNichols,Premier Care Physical Therapy,,599, Business Office,ANNUAL Business Occupancy,9/9/2022 13:30,Yes,94934,-83.167748,42.416476
161838,1220 West Canfield,Speech and Hearing Clinic,,200, Educational - Other,ANNUAL Educational,9/9/2022 13:00,Yes,45884,-83.07367,42.349411
161887,10741 West McNichols,LON'S CONEY ISLAND,LON'S CONEY ISLAND,500," Mercantile, Business - Other",ANNUAL Mercantile Occupancy,9/9/2022 12:45,Yes,94931,-83.16882,42.416439
161886,11000 West McNichols,MCNICHOLS OFFICE CENTER,MCNICHOLS OFFICE CENTER,UUU, Undetermined,ANNUAL Business Occupancy,9/9/2022 11:00,Yes,15026,-83.169539,42.416946
161837,4555 John C. Lodge,Office of Specialized Student Services,Office of Specialized Student Services,200, Educational - Other,ANNUAL Educational,9/9/2022 10:00,Yes,,,
140850,17045 East Warren,A.B. AUTO COMPANY,,571," Service Station, Gas Station",ANNUAL Repair Garage,9/9/2022 2:52,Yes,352219,-82.930531,42.406217
161824,17100 East Warren,SHERWIN WILLIAMS PAINT,SHERWIN WILLIAMS PAINT,UUU, Undetermined,ANNUAL Mercantile Occupancy,9/8/2022 19:00,Yes,352221,-82.929507,42.40595
